Sexy Zone	Sexy Zone	セクゾ		/sexy-zone
関ジャニ∞	関ジャニ∞	関ジャニ	関ジャニ8	/kanjani8
Endless SHOCK	Endless SHOCK	SHOCK		/endlessshock
ジャニーズWEST	ジャニーズWEST	なうぇすと	ジェニスト	/johnnyswest
If or・・・IX	If or・・・IX	イフオア		/ifor
ジャニーズ・オールスターズ・アイランド	ジャニーズ・オールスターズ・アイランド	ジャニアイ		/johnnysallstarsisland
TWENTIETH TRIANGLE TOUR 戸惑いの惑星	TWENTIETH TRIANGLE TOUR 戸惑いの惑星	戸惑いの惑星	トニセン	/tomadoinowakusei
東SixTONES×西関西ジャニーズJr. SHOW 合戦	東SixTONES×西関西ジャニーズJr. SHOW 合戦	東西SHOW合戦	東西SHOW	/johnnystozaishow
関西ジャニーズJr.	関西ジャニーズJr.	関ジュ	春松竹	/kansaijohnnys
君が人生の時	君が人生の時			/kimigajinseinotoki
マリウス	マリウス	今井翼		/mariusu
コメディ・トゥナイト！	コメディトゥナイト			/comedytonight
それいゆ	それいゆ			/soreiyu
サクラパパオー	サクラパパオー			/sakurapapao
